message_id,sender_address,message_body,timestamp_received,reported_scam_category
MSG_0001,BZ-BANK565,Welcome to Phonepe! Your registration code is valid for 10 minutes.,2026-05-24 15:49:00,None
MSG_0002,BZ-BANK602,URGENT: Your Groww account is DEACTIVATED. Re-verify your ACCESS details here: http://secure-groww-portal.xyz/update,2026-05-20 13:04:00,Phishing Scam
MSG_0003,BZ-TRANS909,Welcome to Googlepay! Your registration code is valid for 10 minutes.,2026-05-03 05:59:00,None
MSG_0004,BZ-TRANS432,URGENT: Your Upstox account is SUSPENDED. Re-verify your OTP details here: http://secure-upstox-portal.xyz/update,2026-05-24 08:36:00,Phishing Scam
MSG_0005,BZ-ALERT350,Thank you for using Fyers gateway. Rate your transaction experience.,2026-05-21 21:37:00,None
MSG_0006,BZ-ALERT950,URGENT: Your Phonepe account is BLOCKED. Re-verify your ACCESS details here: http://secure-phonepe-portal.xyz/update,2026-05-04 12:52:00,Phishing Scam
MSG_0007,BZ-PROMO788,Welcome to Zerodha! Your registration code is valid for 10 minutes.,2026-05-14 00:30:00,None
MSG_0008,BZ-TRANS473,URGENT: Your Razorpay account is SUSPENDED. Re-verify your OTP details here: http://secure-razorpay-portal.xyz/update,2026-05-30 16:10:00,Phishing Scam
MSG_0009,BZ-ALERT146,Your transaction of Rs. 2028 at Phonepe Digital was successful.,2026-05-16 22:35:00,None
MSG_0010,BZ-BANK540,URGENT: Your Razorpay account is SUSPENDED. Re-verify your ACCESS details here: http://secure-razorpay-portal.xyz/update,2026-05-16 13:33:00,Phishing Scam
MSG_0011,BZ-PROMO761,Thank you for using Razorpay gateway. Rate your transaction experience.,2026-05-06 06:53:00,None
MSG_0012,BZ-PROMO764,URGENT: Your Bhim account is SUSPENDED. Re-verify your ACCESS details here: http://secure-bhim-portal.xyz/update,2026-05-12 12:26:00,Phishing Scam
MSG_0013,BZ-PROMO860,Your transaction of Rs. 2666 at Googlepay Digital was successful.,2026-05-27 11:14:00,None
MSG_0014,BZ-TRANS105,URGENT: Your Angelone account is DEACTIVATED. Re-verify your OTP details here: http://secure-angelone-portal.xyz/update,2026-05-28 23:21:00,Phishing Scam
MSG_0015,BZ-BANK642,"Dear customer, your monthly e-statement for your Upstox portfolio is ready.",2026-05-01 11:15:00,None
MSG_0016,BZ-BANK932,URGENT: Your Googlepay account is DEACTIVATED. Re-verify your KYC details here: http://secure-googlepay-portal.xyz/update,2026-05-05 17:25:00,Phishing Scam
MSG_0017,BZ-PROMO284,Thank you for using Razorpay gateway. Rate your transaction experience.,2026-05-04 19:24:00,None
MSG_0018,BZ-ALERT843,URGENT: Your Paytmmoney account is BLOCKED. Re-verify your PIN details here: http://secure-paytmmoney-portal.xyz/update,2026-05-10 23:41:00,Phishing Scam
MSG_0019,BZ-ALERT985,Your transaction of Rs. 3205 at Razorpay Digital was successful.,2026-05-10 22:30:00,None
MSG_0020,BZ-BANK463,URGENT: Your Bhim account is SUSPENDED. Re-verify your OTP details here: http://secure-bhim-portal.xyz/update,2026-05-13 12:50:00,Phishing Scam
MSG_0021,BZ-BANK851,Your transaction of Rs. 2506 at Razorpay Digital was successful.,2026-05-03 04:32:00,None
MSG_0022,BZ-PROMO615,URGENT: Your Phonepe account is SUSPENDED. Re-verify your KYC details here: http://secure-phonepe-portal.xyz/update,2026-05-05 05:07:00,Phishing Scam
MSG_0023,BZ-BANK207,Your transaction of Rs. 4418 at Fyers Digital was successful.,2026-05-20 03:34:00,None
MSG_0024,BZ-PROMO923,URGENT: Your Fyers account is DEACTIVATED. Re-verify your OTP details here: http://secure-fyers-portal.xyz/update,2026-05-11 00:59:00,Phishing Scam
MSG_0025,BZ-TRANS491,Welcome to Razorpay! Your registration code is valid for 10 minutes.,2026-05-31 00:58:00,None
MSG_0026,BZ-BANK615,URGENT: Your Phonepe account is BLOCKED. Re-verify your ACCESS details here: http://secure-phonepe-portal.xyz/update,2026-05-17 22:05:00,Phishing Scam
MSG_0027,BZ-ALERT285,Welcome to Fyers! Your registration code is valid for 10 minutes.,2026-05-19 20:48:00,None
MSG_0028,BZ-BANK589,URGENT: Your Fyers account is DEACTIVATED. Re-verify your ACCESS details here: http://secure-fyers-portal.xyz/update,2026-05-03 21:27:00,Phishing Scam
MSG_0029,BZ-PROMO852,Thank you for using Googlepay gateway. Rate your transaction experience.,2026-05-26 09:05:00,None
MSG_0030,BZ-BANK833,URGENT: Your Icicidirect account is BLOCKED. Re-verify your KYC details here: http://secure-icicidirect-portal.xyz/update,2026-05-20 04:12:00,Phishing Scam
MSG_0031,BZ-TRANS221,Welcome to Angelone! Your registration code is valid for 10 minutes.,2026-05-20 17:53:00,None
MSG_0032,BZ-PROMO136,URGENT: Your Zerodha account is SUSPENDED. Re-verify your KYC details here: http://secure-zerodha-portal.xyz/update,2026-05-07 08:53:00,Phishing Scam
MSG_0033,BZ-BANK968,Your transaction of Rs. 1822 at Fyers Digital was successful.,2026-05-05 11:53:00,None
MSG_0034,BZ-PROMO900,URGENT: Your Fyers account is SUSPENDED. Re-verify your PIN details here: http://secure-fyers-portal.xyz/update,2026-05-12 21:25:00,Phishing Scam
MSG_0035,BZ-PROMO305,Your transaction of Rs. 3247 at Fyers Digital was successful.,2026-05-04 15:49:00,None
MSG_0036,BZ-PROMO715,URGENT: Your Groww account is SUSPENDED. Re-verify your ACCESS details here: http://secure-groww-portal.xyz/update,2026-05-18 18:20:00,Phishing Scam
MSG_0037,BZ-TRANS229,Welcome to Paytm! Your registration code is valid for 10 minutes.,2026-05-19 07:03:00,None
MSG_0038,BZ-BANK448,URGENT: Your Paytmmoney account is SUSPENDED. Re-verify your OTP details here: http://secure-paytmmoney-portal.xyz/update,2026-05-30 20:10:00,Phishing Scam
MSG_0039,BZ-TRANS153,Your transaction of Rs. 4924 at Paytm Digital was successful.,2026-05-25 16:55:00,None
MSG_0040,BZ-PROMO175,URGENT: Your Groww account is SUSPENDED. Re-verify your PIN details here: http://secure-groww-portal.xyz/update,2026-05-11 09:43:00,Phishing Scam
MSG_0041,BZ-BANK319,Thank you for using Angelone gateway. Rate your transaction experience.,2026-05-02 08:40:00,None
MSG_0042,BZ-TRANS978,URGENT: Your Zerodha account is BLOCKED. Re-verify your KYC details here: http://secure-zerodha-portal.xyz/update,2026-05-19 05:17:00,Phishing Scam
MSG_0043,BZ-PROMO353,Welcome to Razorpay! Your registration code is valid for 10 minutes.,2026-05-07 07:32:00,None
MSG_0044,BZ-BANK364,URGENT: Your Paytmmoney account is DEACTIVATED. Re-verify your OTP details here: http://secure-paytmmoney-portal.xyz/update,2026-05-13 11:27:00,Phishing Scam
